company_code,event_family,stage,returncode,command,stdout,stderr
301581,equity_snapshot,extract,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline\extract_equity_snapshot_v1.py --packages outputs\candidates\301581_candidate_packages_frozen_v1.jsonl --pdf-path C:\Users\流氓兔\Desktop\week3\data\pdfs\301581_黄山谷捷_IPO招股说明书.pdf --output-jsonl outputs\structured\301581_equity_snapshot_v1.jsonl --output-log outputs\logs\301581_equity_snapshot_v1_log.csv,"packages_input=9
equity_snapshot_packages=3
records_output=3
needs_manual_review=3
errors=0
output_jsonl=outputs\structured\301581_equity_snapshot_v1.jsonl
output_log=outputs\logs\301581_equity_snapshot_v1_log.csv",
301581,equity_snapshot,validate,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline/validate_structured_output.py --schema schemas\equity_snapshot.schema.json --input outputs\structured\301581_equity_snapshot_v1.jsonl --output outputs\validation\301581_equity_snapshot_v1_validation.csv,"schema=schemas\equity_snapshot.schema.json
input=outputs\structured\301581_equity_snapshot_v1.jsonl
output=outputs\validation\301581_equity_snapshot_v1_validation.csv
records=3
valid=3
invalid=0",
301563,subscription_flow,extract,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline\extract_subscription_flow_frozen_v1.py --packages outputs\candidates\301563_candidate_packages_frozen_v1.jsonl --pdf-path C:\Users\流氓兔\Desktop\week3\data\pdfs\301563_云汉芯城_IPO招股说明书.pdf --output-jsonl outputs\structured\301563_subscription_flow_frozen_v1.jsonl --output-log outputs\logs\301563_subscription_flow_frozen_v1_log.csv,"packages_input=12
subscription_packages=3
records_output=3
needs_manual_review=3
errors=0
output_jsonl=outputs\structured\301563_subscription_flow_frozen_v1.jsonl
output_log=outputs\logs\301563_subscription_flow_frozen_v1_log.csv",
301563,subscription_flow,validate,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline/validate_structured_output.py --schema schemas\subscription_flow.schema.json --input outputs\structured\301563_subscription_flow_frozen_v1.jsonl --output outputs\validation\301563_subscription_flow_frozen_v1_validation.csv,"schema=schemas\subscription_flow.schema.json
input=outputs\structured\301563_subscription_flow_frozen_v1.jsonl
output=outputs\validation\301563_subscription_flow_frozen_v1_validation.csv
records=3
valid=3
invalid=0",
301563,share_transfer_flow,extract,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline\extract_share_transfer_flow_frozen_v1.py --packages outputs\candidates\301563_candidate_packages_frozen_v1.jsonl --pdf-path C:\Users\流氓兔\Desktop\week3\data\pdfs\301563_云汉芯城_IPO招股说明书.pdf --output-jsonl outputs\structured\301563_share_transfer_flow_frozen_v1.jsonl --output-log outputs\logs\301563_share_transfer_flow_frozen_v1_log.csv,"packages_input=12
share_transfer_packages=4
records_output=4
needs_manual_review=4
errors=0
output_jsonl=outputs\structured\301563_share_transfer_flow_frozen_v1.jsonl
output_log=outputs\logs\301563_share_transfer_flow_frozen_v1_log.csv",
301563,share_transfer_flow,validate,1,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline/validate_structured_output.py --schema schemas\share_transfer_flow.schema.json --input outputs\structured\301563_share_transfer_flow_frozen_v1.jsonl --output outputs\validation\301563_share_transfer_flow_frozen_v1_validation.csv,"schema=schemas\share_transfer_flow.schema.json
input=outputs\structured\301563_share_transfer_flow_frozen_v1.jsonl
output=outputs\validation\301563_share_transfer_flow_frozen_v1_validation.csv
records=4
valid=0
invalid=4",
301563,equity_snapshot,extract,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline\extract_equity_snapshot_v1.py --packages outputs\candidates\301563_candidate_packages_frozen_v1.jsonl --pdf-path C:\Users\流氓兔\Desktop\week3\data\pdfs\301563_云汉芯城_IPO招股说明书.pdf --output-jsonl outputs\structured\301563_equity_snapshot_v1.jsonl --output-log outputs\logs\301563_equity_snapshot_v1_log.csv,"packages_input=12
equity_snapshot_packages=2
records_output=2
needs_manual_review=2
errors=0
output_jsonl=outputs\structured\301563_equity_snapshot_v1.jsonl
output_log=outputs\logs\301563_equity_snapshot_v1_log.csv",
301563,equity_snapshot,validate,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline/validate_structured_output.py --schema schemas\equity_snapshot.schema.json --input outputs\structured\301563_equity_snapshot_v1.jsonl --output outputs\validation\301563_equity_snapshot_v1_validation.csv,"schema=schemas\equity_snapshot.schema.json
input=outputs\structured\301563_equity_snapshot_v1.jsonl
output=outputs\validation\301563_equity_snapshot_v1_validation.csv
records=2
valid=2
invalid=0",
688775,candidate_packages,extract,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline\extract_candidates_frozen_v1.py --company-code 688775 --pdf-path C:\Users\流氓兔\Desktop\week3\data\pdfs\688775_影石创新_IPO招股说明书.pdf --output-jsonl outputs\candidates\688775_candidate_packages_frozen_v1.jsonl --output-log outputs\logs\688775_candidate_package_log_frozen_v1.csv,"[OK] company=688775 Ӱʯ����
selected_pages=[28, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 62, 63, 64, 65, 66, 67, 68, 69, 70, 74, 81, 84, 98, 99, 100, 102, 106, 107, 166, 167, 251]
packages=5
  688775_establishment_001 | establishment | primary=[62, 63] | support=[]
  688775_overall_conversion_001 | overall_conversion | primary=[63, 64] | support=[]
  688775_share_transfer_flow_001 | share_transfer_flow | primary=[65, 66, 67] | support=[]
  688775_equity_snapshot_001 | equity_snapshot | primary=[69, 70] | support=[]
  688775_equity_snapshot_002 | equity_snapshot | primary=[98, 99] | support=[]
JSONL: outputs\candidates\688775_candidate_packages_frozen_v1.jsonl
LOG:   outputs\logs\688775_candidate_package_log_frozen_v1.csv",
688775,subscription_flow,extract,3,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline\extract_subscription_flow_frozen_v1.py --packages outputs\candidates\688775_candidate_packages_frozen_v1.jsonl --pdf-path C:\Users\流氓兔\Desktop\week3\data\pdfs\688775_影石创新_IPO招股说明书.pdf --output-jsonl outputs\structured\688775_subscription_flow_frozen_v1.jsonl --output-log outputs\logs\688775_subscription_flow_frozen_v1_log.csv,"packages_input=5
subscription_packages=0
records_output=0
needs_manual_review=0
errors=0
output_jsonl=outputs\structured\688775_subscription_flow_frozen_v1.jsonl
output_log=outputs\logs\688775_subscription_flow_frozen_v1_log.csv",û���ҵ�����������subscription_flow�¼�����
688775,subscription_flow,validate,3,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline/validate_structured_output.py --schema schemas\subscription_flow.schema.json --input outputs\structured\688775_subscription_flow_frozen_v1.jsonl --output outputs\validation\688775_subscription_flow_frozen_v1_validation.csv,"schema=schemas\subscription_flow.schema.json
input=outputs\structured\688775_subscription_flow_frozen_v1.jsonl
output=outputs\validation\688775_subscription_flow_frozen_v1_validation.csv
records=0
valid=0
invalid=0",���棺�����ļ���û�п�У���¼��
688775,share_transfer_flow,extract,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline\extract_share_transfer_flow_frozen_v1.py --packages outputs\candidates\688775_candidate_packages_frozen_v1.jsonl --pdf-path C:\Users\流氓兔\Desktop\week3\data\pdfs\688775_影石创新_IPO招股说明书.pdf --output-jsonl outputs\structured\688775_share_transfer_flow_frozen_v1.jsonl --output-log outputs\logs\688775_share_transfer_flow_frozen_v1_log.csv,"packages_input=5
share_transfer_packages=1
records_output=1
needs_manual_review=1
errors=0
output_jsonl=outputs\structured\688775_share_transfer_flow_frozen_v1.jsonl
output_log=outputs\logs\688775_share_transfer_flow_frozen_v1_log.csv",
688775,share_transfer_flow,validate,1,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline/validate_structured_output.py --schema schemas\share_transfer_flow.schema.json --input outputs\structured\688775_share_transfer_flow_frozen_v1.jsonl --output outputs\validation\688775_share_transfer_flow_frozen_v1_validation.csv,"schema=schemas\share_transfer_flow.schema.json
input=outputs\structured\688775_share_transfer_flow_frozen_v1.jsonl
output=outputs\validation\688775_share_transfer_flow_frozen_v1_validation.csv
records=1
valid=0
invalid=1",
688775,equity_snapshot,extract,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline\extract_equity_snapshot_v1.py --packages outputs\candidates\688775_candidate_packages_frozen_v1.jsonl --pdf-path C:\Users\流氓兔\Desktop\week3\data\pdfs\688775_影石创新_IPO招股说明书.pdf --output-jsonl outputs\structured\688775_equity_snapshot_v1.jsonl --output-log outputs\logs\688775_equity_snapshot_v1_log.csv,"packages_input=5
equity_snapshot_packages=2
records_output=2
needs_manual_review=2
errors=0
output_jsonl=outputs\structured\688775_equity_snapshot_v1.jsonl
output_log=outputs\logs\688775_equity_snapshot_v1_log.csv",
688775,equity_snapshot,validate,0,C:\Users\流氓兔\AppData\Local\Programs\Python\Python311\python.exe pipeline/validate_structured_output.py --schema schemas\equity_snapshot.schema.json --input outputs\structured\688775_equity_snapshot_v1.jsonl --output outputs\validation\688775_equity_snapshot_v1_validation.csv,"schema=schemas\equity_snapshot.schema.json
input=outputs\structured\688775_equity_snapshot_v1.jsonl
output=outputs\validation\688775_equity_snapshot_v1_validation.csv
records=2
valid=2
invalid=0",
