company_code,package_id,failure_source,failed_field,failure_reason,strict_schema_invalid,pydantic_invalid,review_queue_present,review_queue_rows,review_priority,review_reason,final_status
301563,301563_share_transfer_flow_001,JSON_SCHEMA_AND_PYDANTIC,transfers,share_transfer_flow record contains an empty transfers list,True,True,True,1,MEDIUM,decision_date_not_found|transfer_items_not_found|transferor_or_transferee_not_found,REVIEW_REQUIRED
301563,301563_share_transfer_flow_002,JSON_SCHEMA_AND_PYDANTIC,transfers,share_transfer_flow record contains an empty transfers list,True,True,True,1,MEDIUM,transfer_items_not_found|transferor_or_transferee_not_found,REVIEW_REQUIRED
301563,301563_share_transfer_flow_003,JSON_SCHEMA_AND_PYDANTIC,transfers,share_transfer_flow record contains an empty transfers list,True,True,True,1,MEDIUM,decision_date_not_found|transfer_items_not_found|transferor_or_transferee_not_found,REVIEW_REQUIRED
301563,301563_share_transfer_flow_004,JSON_SCHEMA_AND_PYDANTIC,transfers,share_transfer_flow record contains an empty transfers list,True,True,True,1,MEDIUM,agreement_date_not_found|transfer_items_not_found|transferor_or_transferee_not_found,REVIEW_REQUIRED
603418,603418_share_transfer_flow_001,JSON_SCHEMA_AND_PYDANTIC,transfers,share_transfer_flow record contains an empty transfers list,True,True,True,1,MEDIUM,decision_date_not_found|transfer_items_not_found|transferor_or_transferee_not_found,REVIEW_REQUIRED
688758,688758_share_transfer_flow_001,JSON_SCHEMA_AND_PYDANTIC,transfers,share_transfer_flow record contains an empty transfers list,True,True,True,1,MEDIUM,transfer_items_not_found|transferor_or_transferee_not_found,REVIEW_REQUIRED
688758,688758_share_transfer_flow_002,JSON_SCHEMA_AND_PYDANTIC,transfers,share_transfer_flow record contains an empty transfers list,True,True,True,1,MEDIUM,transfer_items_not_found|transferor_or_transferee_not_found,REVIEW_REQUIRED
688775,688775_share_transfer_flow_001,JSON_SCHEMA_AND_PYDANTIC,transfers,share_transfer_flow record contains an empty transfers list,True,True,True,1,MEDIUM,agreement_date_not_found|transfer_items_not_found|transferor_or_transferee_not_found,REVIEW_REQUIRED
920116,920116_share_transfer_flow_001,JSON_SCHEMA_AND_PYDANTIC,transfers,share_transfer_flow record contains an empty transfers list,True,True,True,1,MEDIUM,transfer_items_not_found|transferor_or_transferee_not_found,REVIEW_REQUIRED
