company_code,company_name,event_family,package_id,reason,priority,status
603418,友升股份,subscription_flow,603418_subscription_flow_001,new_shares_not_found|participant_not_found|registration_capital_change_not_found,MEDIUM,PENDING
603418,友升股份,subscription_flow,603418_subscription_flow_002,new_registered_capital_not_found|new_shares_not_found|participant_not_found|registration_capital_change_not_found|total_consideration_not_found,MEDIUM,PENDING
603418,友升股份,share_transfer_flow,603418_share_transfer_flow_001,decision_date_not_found|transfer_items_not_found|transferor_or_transferee_not_found,MEDIUM,PENDING
603418,友升股份,share_transfer_flow,603418_share_transfer_flow_001_evt_001,schema_invalid,HIGH,PENDING
603418,友升股份,equity_snapshot,603418_equity_snapshot_001,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
603418,友升股份,equity_snapshot,603418_equity_snapshot_002,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
603418,友升股份,equity_snapshot,603418_equity_snapshot_003,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
001282,三联锻造,subscription_flow,001282_subscription_flow_001,new_registered_capital_inferred_by_difference|new_shares_inferred_by_difference|total_shares_inferred_from_registered_capital,MEDIUM,PENDING
001282,三联锻造,equity_snapshot,001282_equity_snapshot_001,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
001282,三联锻造,equity_snapshot,001282_equity_snapshot_002,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
001282,三联锻造,equity_snapshot,001282_equity_snapshot_003,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
688758,赛分科技,subscription_flow,688758_subscription_flow_001,new_shares_not_found|registration_capital_before_inferred_by_difference,MEDIUM,PENDING
688758,赛分科技,subscription_flow,688758_subscription_flow_002,new_registered_capital_not_found|registration_capital_change_not_found|total_consideration_not_found,MEDIUM,PENDING
688758,赛分科技,subscription_flow,688758_subscription_flow_003,new_registered_capital_not_found|registration_capital_change_not_found,MEDIUM,PENDING
688758,赛分科技,share_transfer_flow,688758_share_transfer_flow_001,transfer_items_not_found|transferor_or_transferee_not_found,MEDIUM,PENDING
688758,赛分科技,share_transfer_flow,688758_share_transfer_flow_002,transfer_items_not_found|transferor_or_transferee_not_found,MEDIUM,PENDING
688758,赛分科技,share_transfer_flow,688758_share_transfer_flow_001_evt_001,schema_invalid,HIGH,PENDING
688758,赛分科技,share_transfer_flow,688758_share_transfer_flow_002_evt_001,schema_invalid,HIGH,PENDING
688758,赛分科技,equity_snapshot,688758_equity_snapshot_001,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
688758,赛分科技,equity_snapshot,688758_equity_snapshot_002,holder_table_not_parsed|snapshot_date_not_found,MEDIUM,PENDING
